"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Conduent",107,"Other","Bangalore / Bengaluru",10.3089526606443,34,3.4,3100,0.167
"AGS Health",53,"IT Services & Consulting","Chennai",10.3089526606443,58,4,3100,0.137
"Tata Technologies",37,"Engineering & Construction","Pune",10.3089526606443,53,3.4,3100,0.219
"Alstom Transportation",40,"Engineering & Construction","Bangalore / Bengaluru",8.9226582995244,75,3.7,3000,0.141
"Future Group",11,"Other","Mumbai",8.00636756765025,205,4.2,3000,0.069
"Tata AIG",37,"Other","Mumbai",10.3089526606443,254,4,3000,0.112
"TVS Credit Services Ltd",16,"Other","Chennai",10.3089526606443,413,4.2,3000,0.071
"Max Healthcare",24,"Healthcare","New Delhi",8.9226582995244,76,3.9,3000,0.101
"Cloudnine Hospital",21,"Healthcare","Bangalore / Bengaluru",8.9226582995244,44,4.5,3000,0.027
"UPL",79,"Other","Other",6.62073965107352,183,4.1,3000,0.108
"Croma",86,"Other","Mumbai",8.00636756765025,184,3.8,3000,0.087
"Dilip Buildcon",12,"Engineering & Construction","Other",8.9226582995244,222,3.9,3000,0.08
"Amazon Transportation Services",26,NA,"Other",8.9226582995244,NA,4.2,3000,0.081
"Walmart",96,"Other","Bangalore / Bengaluru",8.9226582995244,91,3.5,3000,0.21
"PepsiCo",22,"Other","Other",11.2252433925184,267,4,3000,0.125
"Bajaj General Insurance Limited",24,"Other","Pune",10.3089526606443,268,3.8,3000,0.091
"Titan Company",8,"Other","Bangalore / Bengaluru",10.3089526606443,176,4.3,3000,0.093
"S&P Global",65,"Other","Other",8.9226582995244,46,4,2900,0.196
"Varroc Group",100,"Auto Components","Pune",8.00636756765025,60,3.6,2900,0.093
"Mankind Pharma",52,"Pharma","New Delhi",8.9226582995244,236,3.8,2900,0.091
"Blinkit",29,"Internet","Other",10.3089526606443,131,3.7,2900,0.113
"CMS IT Services",64,"IT Services & Consulting","Mumbai",8.00636756765025,152,3,2900,0.095
"Societe Generale Global Solution Centre",29,"IT Services & Consulting","Bangalore / Bengaluru",8.9226582995244,24,3.7,2900,0.22
"Afcons Infrastructure",23,"Engineering & Construction","Mumbai",8.9226582995244,118,4.2,2900,0.083
"MSN Laboratories",55,"Pharma","Other",8.9226582995244,99,3.6,2900,0.092
"Torrent Pharmaceuticals",19,"Pharma","Other",8.9226582995244,124,4,2900,0.101
"Square Yards",22,"Internet","Other",4.83230575857184,49,3.7,2800,0.09
"Jindal Stainless",29,"Other","Other",8.00636756765025,74,4.2,2800,0.11
"I Process Services",23,"Other","Mumbai",8.00636756765025,398,3.9,2800,0.053
"Zensar Technologies",NA,"IT Services & Consulting","Pune",10.3089526606443,29,3.7,2800,0.251
"ACC",69,"Other","Mumbai",8.00636756765025,260,3.9,2800,0.09
"HDFC Sales",35,"Financial Services","Mumbai",8.9226582995244,332,3.9,2800,0.081
