"","YEARS.OLD","INDUSTRY","INDIA.HQ","TOTAL_EMPLOYEES","BRANCHES","RATING","REVIEWS","PACKAGE"
"Transaction Solutions International (India) Pvt Ltd",5,"Financial Services","Pune",8.00636756765025,2.99573227355399,3.8,5.24702407216049,-4.96184512992682
"Metro Brands",40,"Other","Mumbai",6.62073965107352,3.46573590279973,3.8,5.24174701505964,-4.81589121730374
"Apex Hospital",69,"Healthcare","Other",5.85936070647464,3.46573590279973,3.8,5.24174701505964,-4.8345833503159
"Abellon Clean Energy",35,"Other","Other",4.83230575857184,2.99573227355399,3,5.24174701505964,-4.76065508882849
"Shaw Toyota",21,"Other","Pune",6.62073965107352,1.09861228866811,4.9,5.24174701505964,-6.61508566501932
"NMIMS",57,"Education & Training","Mumbai",5.85936070647464,3.09104245335832,3.7,5.23644196282995,-4.50986000618377
"IILM",22,"Education & Training","Other",5.85936070647464,2.07944154167984,4.1,5.23644196282995,-5.4561414517416
"Decimal Technologies",NA,"Software Product","Other",NA,2.19722457733622,3,5.24174701505964,-4.13516655674236
"Sapphire Software Solutions (India)",17,"IT Services & Consulting","Other",NA,1.38629436111989,4.5,5.23644196282995,-5.79261368836282
"Ebixcash World Money",21,"Other","Mumbai",5.85936070647464,3.58351893845611,3.6,5.24174701505964,-4.76299427118166
"Utkal Alumina International",42,"Other","Other",4.83230575857184,2.484906649788,4.1,5.23644196282995,-5.04057917046933
"REI Systems",27,"IT Services & Consulting","Pune",6.62073965107352,NA,4,5.23644196282995,-5.44449987672612
"Hy Gro Chemicals Pharmtek",22,"Pharma","Other",8.9226582995244,2.07944154167984,3.8,5.23644196282995,-5.03903476861795
"Beyond Key",37,"IT Services & Consulting","Other",5.85936070647464,1.38629436111989,4.4,5.23644196282995,-5.11433053043502
"Izmo",57,"IT Services & Consulting","Bangalore / Bengaluru",6.62073965107352,1.6094379124341,3.3,5.24174701505964,-4.84215914412435
"Fulcrum Digital",21,"IT Services & Consulting","Pune",8.00636756765025,1.6094379124341,3.4,5.23644196282995,-4.3428059215206
"Josh Talks",90,"Other","Other",8.00636756765025,2.83321334405622,4.2,5.23644196282995,-5.61577159733349
"CapitalVia",5,"Other","Other",5.85936070647464,2.07944154167984,4.1,5.23644196282995,-5.61029213156886
"Kalyan Toll Infrastructure",10,"Engineering & Construction","Other",8.00636756765025,3.55534806148941,4.1,5.23644196282995,-5.02676467602614
"Mordor Intelligence",5,"Other","Other",6.62073965107352,1.09861228866811,3,5.23644196282995,-4.66598232538485
"Quest Global Technologies",28,"IT Services & Consulting","Bangalore / Bengaluru",4.83230575857184,2.77258872223978,3.7,5.23644196282995,-4.13516655674236
"Jesons Industries",25,"Other","Mumbai",4.83230575857184,2.56494935746154,3.5,5.23644196282995,-4.60517018598809
"Wardwizard Innovations & Mobility",NA,"Other","Other",6.62073965107352,3.85014760171006,3.3,5.23644196282995,-5.0767750966008
"Indo National Limited (Nippo)",22,"Other","Chennai",5.85936070647464,3.89182029811063,4.2,5.23644196282995,-5.06245504282605
